bpm,compStyle,composer,key,style,title,song_index
120,Pop-Disco,Estelle - Kanye West,E,Disco,American Boy,1367
115,Pop-Rock,"The Beatles (Lennon, McCartney)",E,Rock Pop,And I Love Her,1368
70,Pop-Slow Rock,Hendrix Jimi,E,Rock,Angel,1369
113,Pop-Rock,McLachlan Sarah,Db,Pop Ballad,Angel (Sarah McLachlan),1370
75,Pop-Slow Rock,Robbie Williams (Williams-Chambers-Heffernan),E,Rock Pop,Angels,1371
130,Pop-Rock,Lidell Jamie,Eb,Pop,Another Day,1372
110,Pop-RnB,Queen (John Deacon),E-,Rock,Another One Bites The Dust,1373
115,Pop-Slow Rock,Wonder Stevie,F#-,Pop,Another Star,1374
100,Pop-Slow Rock,Wonder Stevie,B,Pop,As,1375
105,Pop-Rock,Drake Nick,G#-,Pop,At The Chime Of A City Clock,1376
140,Pop-Shuffle,The Supremes (Hollandâ€“Dozierâ€“Holland),C,RnB,Baby Love,1377
140,Pop-Rock,Steely Dan (Becker-Fagen),Bb-,Funk Rock,Babylon Sisters,1378
115,Pop-Rock,Rafferty Gerry,D,Rock,Baker Street,1379
64,Pop-Rock 12/8,Dempsey Paul,Eb,Rock,Bats,1380
70,Pop-Slow Rock,"Michael Jackson (Black, Scharf)",F,Ballad,Ben,1381
85,Pop-Rock,"Boyzone (Baxter, Semple)",Eb,Rock Ballad,Better,1382
160,Latin-Brazil: Bossa Acoustic,Mitchell Joni,E,Folk Rock,Big Yellow Taxi,1383
115,Pop-Rock,Jackson Michael,F#-,Pop,Billie Jean,1384
90,Pop-Shuffle,Alannah Myles (Tyson-Ward),Eb-,Rock,Black Velvet,1385
90,Pop-Rock,"The Beatles (Lennon, McCartney)",G,Folk Rock,Blackbird,1386
72,Pop-Slow Rock,Stevie Wonder (Wonder-Wright),Ab,Pop,Blame It On The Sun,1387
78,Pop-Slow Rock,Mitchell Joni,B-,Ballad,Blue,1388
180,Pop-Shuffle,Elvis Presley (Carl Perkins),A,Rock'n'Roll,Blue Suede Shoes,1389
125,Latin-Argentina: Tango,Anderson Leroy,D,Tango,Blue Tango,1390
97,Pop-Slow Rock,Mitchell Joni,Gb,Folk,Both Sides Now,1391
150,Pop-Rock,Clarkson(Lavigne-Benenate-Gerrard) Kelly,C,Rock Pop,Breakaway,1392
111,Pop-Rock,Tom Petty and the Heartbreakers (Tom Petty),A-,Rock,Breakdown,1393
69,Pop-Rock 12/8,Cooke Sam,C,Soul,Bring It On Home To Me,1394
135,Pop-Rock,Morrison Van,G,Rock,Brown Eyed Girl,1395
66,Pop-Slow Rock,Elton John-Tim Rice,Bb,Ballad,Can You Feel The Love Tonight,1396
180,Pop-Rock,"The Beatles (Lennon, McCartney)",C,Rock Pop,Can't Buy Me Love,1397
113,Pop-Soul,White Barry,F,Soul,"Can't Get Enough Of Your Love, Babe",1398
69,Pop-Rock 12/8,Elvis Presley (Peretti-Creatore-Weiss),D,Ballad,Can't Help Falling In Love,1399
110,Pop-Rock,Frankie Valli (Crewe-Gaudio),E,Pop,Can't Take My Eyes Off You,1400
80,Pop-Soul,George Michael (Michael-Ridgeley),D-,Pop,Careless Whisper,1401
92,Pop-Soul,"Anita Baker (Quander, Glenn)",D,R'n'B,Caught Up In The Rapture,1402
115,Pop-Country,Drake Nick,Bb,Folk,Cello Song,1403
95,Pop-Shuffle,Steely Dan (Becker-Fagen),A,Pop-Shuffle,Chain Lightning,1404
110,Pop-Soul,Aretha Franklin (Don Covay),C-,Soul,Chain Of Fools,1405
63,Pop-Rock 12/8,Cooke Sam,Bb,Soul Ballad,Change Is Gonna Come,1406
99,Pop-Rock,Eric Clapton (Sims-Kennedy-Kirkpatrick),E,Blues,Change The World,1407
88,Pop-Smooth,"Sade (Adu, Hale, Matthewman)",C-,Pop,Cherish The Day,1408
111,Pop-Rock,Mitchell Joni,B,Folk,"Circle Game, The",1409
95,Jazz-Ballad Swing,"The Carpenters (Bacharach, David)",C,Pop,Close To You (They Long To Be),1410
105,Pop-Rock,Eric Clapton (J.J. Cale),E,Rock,Cocaine,1411
54,Pop-Rock 12/8,Chicago (James Pankow),F,Rock Ballad,Color My World,1412
74,Jazz-Ballad Swing,Jones Norah,C,Ballad,Come Away With Me,1413
85,Pop-Rock,"The Beatles (Lennon, McCartney)",D-,Rock Pop,Come Together ,1414
97,Pop-Reggae,Marley Bob,D,Reggae,Could You Be Loved,1415
115,Pop-Rock,"Gnarls Barkley (Burton, Callaway, Reverberi)",C-,Pop,Crazy (Gnarls Barkley),1416
100,Pop-Rock,"Radiohead (Radiohead, Hammond, Hazelwood)",G,Rock,Creep,1417
144,Pop-Rock,Springsteen Bruce,B,Rock,Dancing In The Dark 1,1418
129,Pop-Rock,"Elton John (John, Taupin)",C,Pop,Daniel,1419
125,Pop-Rock,Drake Nick,D-,Folk,Day Is Done,1420
125,Pop-Rock,The Monkees (John Stewart),G,Rock,Daydream Believer,1421
115,Pop-Rock,Steely Dan (Becker-Fagen),C,Funk Rock,Deacon Blues (Page 1),1422
140,Pop-Funk,Steely Dan (Becker-Fagen),C,Funk Rock,Deacon Blues (Page 2),1423
67,Pop-Rock 12/8,Tom Jones (Mason-Reed),A-,Waltz,Delilah,1424
129,Pop-Rock,"Elton John and Kiki Dee (John, Taupin)",F,Pop,Don't Go Breaking My Heart,1425
93,Pop-Rock,Norah Jones(Jessie Harris),Bb,Ballad,Don't Know Why I Didn't Come,1426
72,Pop-Rock,"Elton John (John, Taupin)",C,Pop,Don't Let The Sun Go Down On Me,1427
81,Pop-Slow Rock,"No Doubt (Stefani, Stefani)",C-,Pop,Don't Speak,1428
155,Pop-Rock,Queen (Freddie Mercury),F,Rock,Don't Stop Me Now,1429
115,Pop-Rock,Wonder Stevie,D#-,Pop,Don't You Worry 'Bout A Thing,1430
98,Pop-Rock,"Jeff Buckley (Buckley, Grondahl, Johnson)",C-,Rock,Dream Brother,1431
115,Pop-Rock,"The Beatles (Lennon, McCartney)",A,Rock Pop,Drive My Car,1432
66,Pop-RnB,The Commodores (Lionel Richie),Ab,Pop Ballad,Easy,1433
68,Pop-Rock,"Pink Floyd (Waters, Wright, Mason, Gilmour)",C#-,Rock,Echoes Part 1,1434
145,Pop-Shuffle,"The Beatles (Lennon, McCartney)",D,Rock Pop,Eight Days A Week,1435
130,Pop-Rock,"The Beatles (Lennon, McCartney)",E-,Rock Pop,Eleanor Rigby,1436
101,Pop-Reggae,Sting (Gordon Sumner),B-,Rock Ballad,Englishman In New York,1437
83,Pop-Rock,The Bangles (Steinberg-Kelly-Hoffs),G,Rock Ballad,Eternal Flame,1438
115,Pop-Rock,The Police (Sting),A,Pop,Every Breath You Take,1439
85,Pop-Slow Rock,The Police (Sting),Eb,Rock Pop,Every Little Thing She Does Is Magic,1440
204,Pop-Shuffle,The Blues Brothers (Berns-Burke-Wexler),Db,Blues,Everybody Needs Somebody To Love,1441
89,Pop-Smooth,(Lewis-Jam) Cherrelle,D-,Soul Ballad,Everything I Miss At Home,1442
96,Pop-Smooth,Michael George,B,Rock Pop,Faith,1443
89,Pop-Smooth,"Jamiroquai (Kay, Smith)",A-,Pop,Falling,1444
99,Pop-Rock,Chapman Tracy,A,Folk Rock,Fast Car,1445
104,Pop-Rock,The Velvet Underground(Lou Reed),C,Rock,Femme Fatale,1446
100,Pop-Rock,Sting,D,Pop Ballad,Fields Of Gold,1447
99,Pop-Smooth,Simon Paul,E-,Folk Rock,Fifty Ways To Leave Your Lover,1448
122,Pop-Rock,Perry(Eriksen-Hermansen-Wilhem-Dean) Katy,Ab,Pop,Firework ,1449
65,Pop-Slow Rock,Roberta Flack (Ewan MacColl),C,Ballad,"First Time Ever I Saw Your Face, The",1450
73,Pop-Rock,Coldplay,Eb,Rock,Fix You,1451
110,Pop-Rock,Drake Nick,Ab,Folk Rock,Fly,1452
150,Pop-Rock,Kravitz Lenny,A,Rock,Fly Away,1453
93,Pop-Smooth,Miller Steve,A-,Rock,Fly Like An Eagle,1454
76,Pop-Rock,"The Beatles (Lennon, McCartney)",D,Rock Pop,"Fool On The Hill, The",1455
145,Pop-Rock,"The Beatles (Lennon, McCartney)",B,Rock Pop,For No One,1456
110,Pop-Soul,"Stevie Wonder (Miller, Murden)",F,Soul,For Once In My Life 1,1457
160,Latin-Brazil: Bossa Acoustic,Sting (Gordon Sumner),E-,Pop,Fragile,1458
77,Pop-Rock,Beatles The,A,Rock Pop,Free As A Bird,1459
122,Pop-Rock,Drake Nick,A-,Folk Rock,Fruit Tree,1460
116,Pop-Rock,"Santana (Alexander, Nowels)",E-,Pop Rock,"Game Of Love, The",1461
123,Pop-Rock,"The Beatles (Lennon, McCartney)",A,Rock Pop,Get Back,1462
60,Pop-Slow Rock,Russell Brenda,C,Pop Ballad,Get Here,1463
97,Jazz-Gypsy Jazz,"The Beatles (Lennon, McCartney)",C-,Rock Pop,Girl,1464
115,Pop-Rock,Cyndi Lauper(Robert Hazard),F#,Pop,Girls Just Wanna Have Fun,1465
97,Pop-Rock,Supertramp (Roger Hodgson),D,Pop,Give A Little Bit,1466
102,Pop-Rock,James Ingram-John Tesh,C,Rock Waltz,Give Me Forever I Do,1467
75,Pop-Rock,Clapton Eric,E,Blues,Give Me Strength,1468
108,Pop-Smooth,George Benson (Rod Temperton),F-,Funk Jazz,Give Me The Night,1469
104,Pop-Smooth,Wonder Stevie,Eb,Pop,Golden Lady,1470
120,Pop-Shuffle,"The Beatles (Lennon, McCartney)",B,Rock Pop,Good Day Sunshine,1471
110,Pop-Soul,"Chic (Edwards, Rodgers)",E-,Pop,Good Times,1472
125,Pop-Rock,"Elton John (John, Taupin)",F,Pop,Goodbye Yellow Brick Road,1473
44,Pop-Rock 12/8,Mayer John,G,Blues,Gravity,1474
67,Pop-Slow Rock,"Whitney Houston(Masser, Creed)",A,Pop Ballad,"Greatest Love Of All, The",1475
78,Pop-Rock,Pink Floyd (Roger Waters),C,Rock,Green Is The Colour,1476
106,Latin-Cuba: Cha Cha Cha,The Young Rascals (Cavaliere-Brigati),Eb,R'n'B,Groovin',1477
59,Pop-Rock 12/8,Cohen Leonard,C,Rock Ballad,Hallelujah,1478
49,Pop-Rock 12/8,John Lennon-Yoko Ono,A,Pop,Happy Xmas (War Is Over),1479
135,Pop-Rock,"The Beatles (Lennon, McCartney)",G,Rock Pop,"Hard Day's Night, A",1480
70,Pop-Slow Rock,(Cetera-Foster) Chicago,E,Rock Ballad,Hard To Say I'm Sorry,1481
70,Pop-Slow Rock,Rod Stewart (Van Morrison),Bb,Pop,Have I Told You Lately,1482
120,Pop-Disco,(Harry-Stein) Blondie,E,Pop,Heart Of Glass,1483
147,Pop-Rock,"Huey Lewis and The News (Colla, Lewis)",C,Rock,"Heart of Rock and Roll, The",1484
89,Pop-Shuffle,Elvis Presley (Axton-Durden-Presley),E,Rock'n'Roll,Heartbreak Hotel,1485
63,Pop-Slow Rock,Shakespears Sisters (Fahey-Detroit-Guiot),F#,Rock Ballad,Hello 1,1486
101,Pop-Rock,"The Beatles (Lennon, McCartney)",C,Rock Pop,"Hello, Goodbye",1487
83,Pop-Rock,"The Beatles (Lennon, McCartney)",G,Rock Pop,"Here, There, And Everywhere",1488
66,Pop-Slow Rock,Mariah Carey (Carey- Afanasieff),E,Pop Ballad,Hero,1489
78,Pop-Rock,"The Beatles (Lennon, McCartney)",F,Rock Pop,Hey Jude,1490
120,Pop-Shuffle,"Jeff Beck (English, Weiss)",D,Rock,Hi Ho Silver Lining,1491
93,Pop-Soul,"Jackie Wilson (Jackson, Miner, Smith)",D,Soul,Higher And Higher (Your Love Keeps Lifting Me),1492
112,Pop-Rock,AC DC (Scott-Young-Young),A,Rock,Highway To Hell,1493
168,Jazz-Up Tempo Swing,Ray Charles (Percy Mayfield),G#-,RnB,Hit The Road Jack,1494
71,Pop-Rock,King Carole,A,Pop Ballad,Home Again,1495
119,Pop-Soul,"Steely Dan (Becker, Fagen)",G-,Pop,Home At Last 1,1496
70,Pop-Slow Rock,Joel Billy,Bb,Pop Ballad,Honesty,1497
119,Pop-Disco,Donna Summer (Bellote-Faltermeyer-Forsey),G-,Disco,Hot Stuff,1498
75,Pop-Rock 12/8,The Animals (Unknown Composer),A-,Rock,"House Of The Rising Sun, The",1499
72,Pop-Country,Bee Gees (Barry Gibb-Robin Gibb),E,Pop Ballad,How Can You Mend A Broken Heart,1500
103,Pop-Rock,"The Bee Gees (Gibb, Gibb, Gibb)",Eb,Pop Ballad,How Deep Is Your Love?,1501
115,Pop-Shuffle,"Marvin Gaye (Holland, Dozier, Holland)",C,Soul,How Sweet It Is To Be Loved By You,1502
130,Pop-Rock,Killers The,Bb,Rock Pop,Human,1503
131,Pop-Disco,"BjÃ¶rk (BjÃ¶rk, Hooper, De Vries)",Eb,Pop,Hyperballad,1504
63,Pop-Slow Rock,Kelly R.,C,Soul Ballad,I Believe I Can Fly,1505
122,Latin-Cuba: Bolero,Nash Johnny,D,Reggae Pop,I Can See Clearly Now,1506
102,Pop-Soul,Michael Jackson (Wonder-Greene),Ab,Pop,I Can't Help It,1507
63,Pop-Slow Rock,Bonnie Raitt (Reid-Shamblin),Eb,Ballad,I Can't Make You Love Me,1508
115,Pop-Rock,King Carole,C-,Pop,I Feel The Earth,1509
190,Jazz-Medium Up Swing,Ray Charles-Renald Richard,A,RnB,I Got A Woman,1510
117,Pop-Rock,Marvin Gaye (Whitfield-Strong),Eb-,Soul,I Heard It Through The Grapevine,1511
68,Jazz-Ballad Swing,Tony Bennett (Cory-Cross),C,Ballad,I Left My Heart In San Francisco 1,1512
153,Pop-Rock,"The Beatles (Lennon, McCartney)",E,Rock Pop,I Saw Her Standing There,1513
141,Pop-Rock,Dionne Warwick (Bacharach-David),G,Pop,I Say A Little Prayer For You,1514
97,Pop-Reggae,Marley Bob,G-,Reggae,I Shot The Sheriff,1515
103,Pop-Rock,U2,Db,Rock,I Still Haven't Found What I'm Looking For,1516
126,Pop-Rock,"The Beatles (Lennon, McCartney)",G,Rock Pop,I Want To Hold Your Hand,1517
101,Pop-Soul,"The Jackson 5 (Gordy, Perren, Mizell, Richards)",Ab,Pop,I Want You Back,1518
117,Pop-Disco,Gloria Gaynor (Perren-Fekaris),A-,Disco,I Will Survive,1519
97,Pop-RnB,Wonder Stevie,Eb-,Funk,I Wish,1520
144,Pop-Rock,The Monkees (Neil Diamond),G,Rock,I'm A Believer,1521
78,Pop-Reggae,Mraz Jason,B,Pop,I'm Yours,1522
40,Pop-Rock 12/8,Keys Alicia,G,Pop,If I Ain't Got You ,1523
111,Pop-Rock,"The Beatles (Lennon, McCartney)",D,Rock Pop,If I Fell,1524
75,Pop-Rock,Lennon John,C,Rock Pop,Imagine,1525
108,Pop-Rock,"Led Zeppelin (Page, Plant)",F#-,Rock,Immigrant Song,1526
118,Pop-Rock,Dobie Gray (Billy Page),A,RnB,"In Crowd, The",1527
105,Pop-Rock,"The Beatles (Lennon, McCartney)",A,Rock Pop,In My Life,1528
114,Pop-Rock,"Wilson Pickett (Pickett, Cropper)",E,Soul,In The Midnight Hour,1529
118,Pop-Rock 12/8,Wonder Stevie,E,Pop,Isn't She Lovely?,1530
58,Pop-Rock 12/8,James Brown (Brown-Newsome),Eb-,Soul Ballad,It's A Man's World,1531
93,Pop-Smooth,(Sting-Kamen-Clapton) Sting,E-,Pop Ballad,It's probably me,1532
105,Pop-Rock,King Carole,A-,Pop,It's Too Late,1533
97,Pop-Rock,Keb' Mo'(Keb' Mo'-Jeff Paris),G-,Blues,"Itch, The",1534
68,Pop-Rock,Lennon John,G,Pop,Jealous Guy,1535
70,Pop-Slow Rock,"BjÃ¶rk (BjÃ¶rk, SjÃ³n)",G#-,Pop,JÃ³ga,1536
92,Pop-Smooth,Bill Withers (Withers-MacDonald-Salter),F-,R'n'B,Just The Two Of Us,1537
135,Latin-Brazil: Bossa Electric,Joel Billy,D,Rock Pop,Just The Way You Are (Page 1),1538
135,Latin-Brazil: Bossa Electric,Joel Billie,D,Rock Pop,Just The Way You Are (Page 2),1539
100,Pop-Soul,"Steely Dan (Becker, Fagen)",C,Funk Rock,Kid Charlemagne (Page 1),1540
100,Pop-Soul,"Steely Dan (Becker, Fagen)",C,Funk Rock,Kid Charlemagne (Page 2),1541
113,Pop-Shuffle,Queen (Freddie Mercury),C-,Rock,Killer Queen,1542
122,Jazz-Bossa Nova,"Roberta Flack (Fox, Gimbel)",Ab,Pop,Killing Me Softly With His Song,1543
108,Pop-Rock,"Eddie Floyd (Floyd, Cropper)",E,Soul,Knock On Wood,1544
70,Pop-Slow Rock,Dylan Bob,G,Rock Ballad,Knockin' On Heaven's Door,1545
97,Pop-Soul,Wonder Stevie,C,Pop,Knocks Me Off My Feet ,1546
136,Pop-Country,Simon Paul,E,Folk Rock,Kodachrome,1547
77,Pop-Smooth,Michael Jackson (Rod Temperton),A-,Ballad,"Lady In My Life, The",1548
82,Pop-Soul,Gates David,D,Pop,Lady Valentine,1549
74,Pop-Slow Rock,Wonder Stevie,Ab,Pop,Lately,1550
120,Pop-Rock,"Eric Clapton (Clapton, Gordon)",D-,Rock,Layla (Single),1551
86,Pop-Smooth,Kaas Patricia,F#-,Rock Ballad,Le Jour Se Leve,1552
72,Pop-Rock,"The Beatles (Lennon, McCartney)",C,Rock Pop,Let It Be,1553
87,Pop-Soul,Gaye Marvin,Eb,Soul,Let's Get It On,1554
120,Pop-Soul,"Earth, Wind and Fire (White, Vaughn)",E-,Funk,Let's Groove,1555
97,Pop-Soul,Al Green(Green-Mitchell-Jackson Jr.),F,Soul,Let's Stay Together,1556
137,Pop-Rock,The Box Tops (Wayne Carson Thompson),A-,Rock Pop,"Letter, The",1557
58,Pop-Slow Rock,Bowie David,E,Ballad,Life On Mars,1558
122,Pop-Rock,Doors The,A-,Rock,Light My Fire,1559
95,Pop-Rock,Dylan Bob,C,Folk Rock,Like A Rolling Stone,1560
65,Pop-RnB,Corinne Bailey Rae,A-,Pop,Like A Star,1561
118,Pop-Rock,(Steinberg-Kelly) Madonna,F#,Pop,Like A Virgin,1562
106,Pop-Rock,Mitchell Joni,B,Folk Rock,Little Green,1563
68,Pop-Slow Rock,Hendrix Jimi,Gb,Rock,Little Wing,1564
99,Pop-Soul,Wonder Stevie,Gb,Funk,Living For The City Page 1,1565
99,Pop-Soul,Wonder Stevie,Gb,Funk,Living For The City Page 2,1566
70,Pop-Rock,"The Beatles (Lennon, McCartney)",Eb,Rock Pop,Long And Winding Road,1567
115,Pop-Soul,Doobie Brothers (Tom Johnston),G-,Funk Rock,Long Train Runnin',1568
167,Jazz-Gypsy Jazz,Joel Billy,Eb,Pop,"Longest Time, The",1569
85,Pop-Rock,Lennon John,D,Rock Pop,Love,1570
100,Pop-Soul,Al Green-Teenie Hodges,G#-,R'n'B,Love and Happiness,1571
97,Pop-Rock,The Troggs (Reg Presley),D,Pop,Love Is All Around,1572
75,Pop-Country,Elvis Presley (Presley-Matson),D,Country Ballad,Love Me Tender,1573
68,Pop-Rock 12/8,Costa Nikka,Ab,Ballad,Love To Love You Less,1574
96,Pop-Rock,Wonder Stevie,Eb,Pop,Love's In Need Of LoveToday,1575
98,Pop-Soul,"Bill Withers (Withers, Scarborough)",E,Pop,Lovely Day,1576
100,Pop-Shuffle,"Patricia Kaas(Barbelivien, Medhi)",C-,Blues,Mademoiselle Chante Le Blues,1577
124,Pop-Rock,"Rod Stewart (Stewart, Quittenton)",D,Rock,Maggie May,1578
113,Pop-Rock,Three Dog Night (Randy Newman),Ab,Rock,Mama Told Me (Not To Come),1579
88,Pop-Rock,Petty Tom,A-,Rock,Mary Jane's Last Dance,1580
97,Pop-Rock,Bee Gees (Gibb-Gibb-Gibb),G,Pop,Massachusetts,1581
67,Pop-Rock 12/8,"Billy Paul (Gamble, Huff, Gilbert)",Eb,Ballad,Me And Mrs. Jones,1582
129,Pop-Rock,"Duffy (Duffy, Booker)",G-,Rock,Mercy,1583
120,Jazz-Gypsy Jazz,"The Beatles (Lennon, McCartney)",F,Rock Pop,Michelle,1584
102,Pop-Soul,Maria Muldaur(David Nichtern),Eb,Rock Pop,Midnight At The Oasis,1585
92,Pop-Soul,Gladys Knight and The Pips (Jim Weatherly),Db,Soul,Midnight Train To Georgia,1586
103,Pop-Rock 12/8,Kaas(Barbelivien-Bernheim) Patricia,C-,Ballad,Mon Mec A Moi,1587
118,Jazz-Gypsy Jazz,Sting,F-,Medium Swing,Moon Over Bourbon Street,1588
127,Jazz-Medium Swing,Morrison Van,A-,Medium Swing,Moondance 1,1589
99,Pop-Soul,Keb' Mo'(Lewis Parker-Moore),E,Blues Pop,More Than One Way Home,1590
112,Pop-Rock,Mitchell Joni,A,Folk,Morning MorganTown,1591
113,Pop-Soul,Wilson Pickett (Mack Rice),C,R'n'B,Mustang Sally ,1592
105,Pop-Soul,"Stevie Wonder (Wonder, Cosby, Moy)",Db,Pop,My Cherie Amour,1593
106,Pop-Soul,"The Temptations (Robinson, White)",C,Soul,My Girl,1594
80,Pop-Slow Rock,(Moody-Lee) Evanescence,A,Rock Ballad,My Immortal,1595
115,Pop-Rock,(Leka-Frashuer-DeCarlo) Steam,C,Pop,Na Na Hey Hey Kiss Him Goodbye,1596
100,Jazz-Ballad Swing,"Aretha Franklin (Goffin, King, Wexler)",C,Pop,Natural Woman (You Make Me Feel Like),1597
85,Pop-Rock,"Stevie Wonder (Wonder, Wright)",C,Pop,Never Dreamed You'd Leave In Summer,1598
75,Pop-Rock,Colvin Shawn,E,Rock-Folk,Never Saw Blue Like That,1599
61,Pop-Slow Rock,Joel Billy,C,Pop,New York State Of Mind,1600
108,Pop-Disco,Bee Gees (Gibb-Gibb-Gibb),E,Disco,Night Fever,1601
91,Pop-Soul,Elton John (John-Taupin),G,Rock Pop,Nikita,1602
77,Pop-Reggae,Bob Marley (Vincent Ford),C,Reggae,"No Woman, No Cry",1603
95,Pop-Rock,Drake Nick,C,Folk Rock,Northern Sky,1604
158,Pop-Rock,"The Beatles (Lennon, McCartney)",E,Rock Pop,Norwegian Wood,1605
60,Jazz-Ballad Swing,O'Sullivan Gilbert,C-,Ballad,Nothing Rhymed,1606
115,Pop-Rock,"The Beatles (Lennon, McCartney)",E,Rock Pop,Nowhere Man,1607
97,Pop-Bluegrass,"BjÃ¶rk (BjÃ¶rk, Sjon)",Db,Electro Pop,Oceania,1608
61,Pop-Rock 12/8,"The Beatles (Lennon, McCartney)",A,Rock Pop,Oh! Darling,1609
75,Jazz-Ballad Swing,Waits Tom,Gb,Ballad,Ol' 55,1610
75,Pop-Soul,"Eric Clapton, Robert Cray",A-,Blues,Old Love,1611
88,Pop-Rock,U2,A-,Rock Ballad,One,1612
77,Pop-Soul,Randy Crawford (Sample-Jennings),D,Soul Ballad,One Day I'll Fly Away,1613
89,Pop-Smooth,James Ingram (Wakefield-Wright-Coleman),Eb,R'n'B,One Hundred Ways,1614
169,Pop-Rock,Drake Nick,E,Folk Rock,One Of These Things First,1615
116,Pop-Country,Roy Orbison (Orbison-Melson),F,Rock'n'Roll,Only the Lonely (Know the Way I Feel),1616
102,Pop-Soul,"John Legend (Legend, will i am)",Bb,Pop,Ordinary People,1617
86,Pop-Soul,Wonder Stevie,Eb,Pop,Overjoyed,1618
71,Pop-RnB,BjÃ¶rk,C#-,Electro Pop,Pagan Poetry,1619
117,Pop-Soul,The Temptations (Whitfield-Strong),Bb-,Soul,Papa Was A Rollin' Stone,1620
126,Pop-Funk,Brown James,E,Funk,Papa's Got A Brand New Bag,1621
58,Pop-Soul,"Sade (Adu, Hale)",G-,Pop,Pearls,1622
113,Jazz-Medium Swing,"The Beatles (Lennon, McCartney)",B,Rock Pop,Penny Lane,1623
84,Pop-Soul,Stylistics(Creed-Bell) The,E-,Soul,People Make The World Go Round,1624
85,Pop-Soul,Janis Joplin (Ragovoy-Berns),E,Soul,Piece of my heart,1625
65,Pop-Soul,Pink Floyd (Roger Waters),G,Rock,Pigs On the Wing,1626
170,Pop-Rock,The Monkees (Goffin-King),A,Rock,Pleasant Valley Sunday,1627
71,Jazz-Slow Swing,Mayfield Percy,G,Blues,Please Send Me Someone To Love,1628
131,Latin-Brazil: Bossa Acoustic,Snow Phoebe,D,Pop,Poetry Man,1629
118,Pop-Disco,"Lady Gaga (Germanotta, Khayat)",G#-,Pop,Poker Face,1630
98,Pop-Rock,Corinne Bailey Rae(Bailey Rae-Chrisanthou-Beck),A,Pop,Put your records on,1631
118,Pop-Bluegrass,"P. Williams, K. Ascher",A,Waltz,"Rainbow Connection, The 1",1632
138,Pop-Rock,Winehouse Amy,C,Rock,Rehab,1633
98,Pop-Soul,Little River Band (Graeham Goble),D,Rock Pop,Reminiscing,1634
112,Pop-Soul,"Aretha Franklin (Shannon, Redding)",C,Soul,Respect,1635
70,Pop-Slow Rock,Wonder Stevie,Eb-,Soul,Ribbon In The Sky,1636
105,Pop-Rock,Mitchell Joni,C,Folk,River,1637
115,Pop-Rock,Drake Nick,C,Folk Rock,River Man,1638
113,Pop-Soul,Michael Jackson (Rod Temperton),Eb-,Disco,Rock With  You,1639
79,Pop-Soul,Wonder Stevie,G#-,Pop,Rocket Love,1640
72,Pop-Soul,"Elton John (John, Taupin)",G-,Pop,Rocket Man,1641
109,Pop-Rock,(Atkins-Epworth) Adele,C-,Pop,Rolling In The Deep,1642
70,Pop-Slow Rock,Bette Midler (Amanda McBroom),C,Country Ballad,"Rose, The",1643
132,Pop-Rock,The Police (Sting),G-,Rock,Roxanne,1644
90,Pop-Reggae,Nowell) Sublime(Bradley,E,Reggae,Santeria,1645
114,Pop-Soul,Chicago (Robert Lamm),C,Pop,Saturday In The Park,1646
114,Pop-Rock,Drake Nick,C,Pop,Saturday Sun,1647
115,Pop-Rock,"Pink Floyd (Waters, Gilmour, Mason, Wright)",B-,Rock,"Saucerful of Secrets, A",1648
88,Pop-Rock,Queen (Brian May),C,Rock,Save Me,1649
136,Latin-Cuba: Bolero,The Drifters (Pomus-Shuman),E,RnB,Save The Last Dance For Me,1650
69,Pop-Rock 12/8,"Whitney Houston (Goffin, Masser)",A,Pop,Saving All My Love For You,1651
118,Pop-Rock,Simon and Garfunkel,E-,Folk-Rock,Scarborough Fair,1652
115,Pop-Rock,Beck Jeff,Bb-,Rock,Scatterbrain,1653
76,Pop-Rock,"Coldplay (Berryman, Buckland, Champion, Martin)",D-,Pop,"Scientist, The",1654
129,Pop-Rock,Pink Floyd (Syd Barrett),A-,Rock,See Emily Play,1655
126,Pop-Rock,"Earth, Wind and Fire (Willis, White, Mckay)",D,Pop,September,1656
110,Pop-Rock,Pink Floyd (Roger Waters),E-,Rock,Set The Controls For The Heart Of The Sun,1657
170,Pop-Rock,Sting (Gordon Sumner),C,Pop,Seven Days,1658
80,Pop-Rock,"The Beatles (Lennon, McCartney)",G,Rock Pop,Sexy Sadie,1659
70,Pop-Slow Rock,"Charles Aznavour (Aznavour, Kretzner)",Db,Pop Ballad,She,1660
104,Pop-Rock,Maroon 5 (Levine-Valentine),Eb,Pop,She Will Be Loved,1661
161,Pop-Rock,Joel Billy,Eb,Ballad,She's Always A Woman Part 1,1662
161,Pop-Rock,Joel Billy,Eb,Ballad,She's Always A Woman Part 2,1663
117,Pop-Rock,Betty Everett (Rudy Clark),D,Pop,"Shoop Shoop Song (It's in His Kiss), The",1664
132,Pop-Rock,The Isley Brothers,F,Rock,Shout,1665
105,Pop-Soul,Wonder Stevie,B,Soul,Sir Duke,1666
69,Jazz-Ballad Swing,Sting (Gordon Sumner),F#-,Ballad,Sister Moon,1667
100,Pop-Soul,"Otis Redding (Redding, Cropper)",G,Soul,Sitting On The Dock Of The Bay,1668
67,Pop-Soul,Vandross Luther,B,Ballad,So Amazing,1669
72,Pop-Soul,John Legend (Legend-Harris-Hill),D,Soul Ballad,So High,1670
