bpm,compStyle,composer,key,style,title,song_index
210,Jazz-Up Tempo Swing,Young Lester,Db,Up Tempo Swing,Tickle-Toe,1198
60,Jazz-Ballad Swing,Wilson Meredith,Eb,Ballad,Till There Was You,1199
100,Jazz-Medium Swing,Styne Jule,C,Medium Swing,Time After Time,1200
60,Jazz-Ballad Swing,Youmans Vincent,F,Ballad,Time On My Hands,1201
60,Jazz-Ballad Swing,Evans Bill,B-,Ballad,Time Remembered,1202
180,Jazz-Latin,Gillespie Dizzy,G-,Latin,Tin Tin Deo,1203
160,Jazz-Medium Up Swing,Brown Clifford,Bb,Medium Up Swing,Tiny Capers,1204
160,Jazz-Medium Up Swing,Silver Horace,Bb,Medium Up Swing,Tippin',1205
60,Jazz-Ballad Swing,Nemo Henry,Eb,Ballad,Tis Autumn,1206
100,Jazz-Medium Swing,Silver Horace,C-,Medium Swing,Tokyo Blues,1207
100,Jazz-Medium Swing,Corea Chick,D,Medium Swing,Tones For Joan's Bones,1208
140,Jazz-Bossa Nova,Bernstein-Sondheim,G,Bossa Nova,Tonight,1209
60,Jazz-Ballad Swing,Ellington-Mercer,Db,Ballad,Tonight I Shall Sleep,1210
100,Jazz-Medium Swing,Rose-David,C,Medium Swing,Tonight You Belong To Me,1211
100,Jazz-Medium Swing,Bock-Weiss-Holofcener,C,Medium Swing,Too Close For Comfort,1212
100,Jazz-Medium Swing,Whiting Richard,G,Medium Swing,Too Marvelous For Words,1213
60,Jazz-Ballad Swing,Lippman-Dee,Bb,Ballad,Too Young,1214
60,Jazz-Ballad Swing,McHugh Jimmy,F,Ballad,Too Young To Go Steady,1215
100,Jazz-Medium Swing,Noble Ray,C,Medium Swing,"Touch Of Your Lips, The",1216
100,Jazz-Medium Swing,Gillespie Dizzy,Ab,Medium Swing,Tour De Force,1217
100,Jazz-Medium Swing,Shorter Wayne,F,Medium Swing,Toy Tune,1218
100,Jazz-Medium Swing,Hancock Herbie,D-,Medium Swing,Toys,1219
100,Jazz-Medium Swing,Petrucciani Michel,Ab,Medium Swing,Training,1220
115,Jazz-Medium Swing,Coltrane John,Bb,Medium Swing,Traneâ€™s Blues,1221
140,Jazz-Even 8ths,Metheny Pat,G,Even 8ths,Travels,1222
160,Jazz-Medium Up Swing,Pettiford Oscar,Db,Medium Up Swing,Tricotism,1223
100,Jazz-Medium Swing,Monk Thelonious,Eb,Medium Swing,Trinkle Tinkle,1224
140,Jazz-Bossa Nova,Jobim Antonio-Carlos,A,Bossa Nova,Triste,1225
100,Jazz-Medium Swing,Johnston Arthur,F,Medium Swing,Troubled Waters,1226
60,Jazz-Ballad Swing,Woods Harry,Eb,Ballad,Try A Little Tenderness,1227
240,Jazz-Up Tempo Swing,Davis Miles,Bb,Up Tempo Swing,Tune Up,1228
60,Jazz-Ballad Swing,Evans Bill,A-,Ballad,Turn Out The Stars,1229
100,Jazz-Medium Swing,Coleman Ornette,C,Medium Swing,Turnaround,1230
170,Jazz-Medium Up Swing,Gray Wardell,Bb-,Medium Up Swing,Twisted,1231
160,Jazz-Medium Up Swing,Montgomery Wes,Db,Medium Up Swing,Twisted Blues,1232
60,Jazz-Ballad Swing,Mancini Henry,G,Ballad,Two For The Road,1233
230,Jazz-Up Tempo Swing,Tristano Lennie,Ab,Up Tempo Swing,Two Not One,1234
60,Jazz-Ballad Swing,Carmichael Hoagy,C,Ballad,Two Sleepy People,1235
100,Jazz-Medium Swing,Monk Thelonious,Db,Waltz,Ugly Beauty,1236
160,Jazz-Medium Up Swing,Shavers Charlie,C,Medium Up Swing,Undecided,1237
100,Jazz-Medium Swing,Livingston Jerry,Ab,Medium Swing,Under A Blanket Of Blue,1238
60,Jazz-Ballad Swing,Irving Gordon,G,Ballad,Unforgettable,1239
160,Jazz-Medium Up Swing,Jones Sam,C,Medium Up Swing,Unit Seven,1240
100,Jazz-Medium Swing,Shorter Wayne,F,Waltz,United,1241
60,Jazz-Ballad Swing,Metheny Pat,A-,Ballad,Unity Village,1242
140,Jazz-Even 8ths,Mehldau Brad,C,Even 8ths,Unrequited,1243
100,Jazz-Medium Swing,Hubbard Freddie,Bb,Waltz,Up Jumped Spring,1244
100,Jazz-Medium Swing,Kern Jerome,C,Medium Swing,Up With The Lark,1245
160,Jazz-Medium Up Swing,Strayhorn Billy,Db,Medium Up Swing,Upper Manhattan Medical Group,1246
100,Jazz-Medium Swing,Rollins Sonny,Ab,Waltz,Valse Hot,1247
100,Jazz-Medium Swing,Evans Bill,C,Waltz,Very Early,1248
